凤凰,#genre#
凤凰资讯,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhzx
凤凰中文,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhzw
凤凰香港,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhhk
功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
CGTN纪录,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?&encrypt=
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
CGTN法语,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?&encrypt=
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN俄语,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?&encrypt=
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN西语,http://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?&encrypt=
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,http://hlsbkmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?&encrypt=
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
CHC动作电影,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/gesee/chcdzdy/600/index.m3u8?&encrypt=
老故事,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?&encrypt=
发现之旅,http://hlsbkmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?&encrypt=
中学生,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?&encrypt=
四海钓鱼,http://hlsbkmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?&encrypt=
