央视频道👉电信,#genre#
CCTV1,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://110.80.17.38:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://110.80.17.38:9901/tsfile/live/0005_2.m3u8?key=txiptv
CCTV7,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://110.80.17.38:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://110.80.17.38:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://110.80.17.38:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=txiptv
