央视频道,#genre#
CCTV1,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV1HD.m3u8
CCTV2,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV2HD.m3u8
CCTV3,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV3HD.m3u8
CCTV4,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV4HD.m3u8
CCTV5,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV5HD.m3u8
CCTV5+,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV5_HD.m3u8
CCTV6,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV6HD.m3u8
CCTV7,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV7HD.m3u8
CCTV8,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV8HD.m3u8
CCTV9,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV9HD.m3u8
CCTV10,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV10HD.m3u8
CCTV11,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV-11.m3u8
CCTV12,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV12HD.m3u8
CCTV13,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV13.m3u8
CCTV14,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV14HD.m3u8
CCTV15,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV15.m3u8
CCTV16,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV16HD.m3u8
CCTV17,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CCTV17HD.m3u8
北京卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/bjwsHD.m3u8
北京卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/bjws4K.m3u8
东方卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dfwsHD.m3u8
东方卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dfws4K.m3u8
天津卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/tjwsHD.m3u8
重庆卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/cqwsHD.m3u8
黑龙江卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hljwsHD.m3u8
吉林卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jlwsHD.m3u8
辽宁卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/lnwsHD.m3u8
内蒙古卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/nmgws.m3u8
宁夏卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/nxws.m3u8
甘肃卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/gsws.m3u8
青海卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/qhws.m3u8
陕西卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/shxws.m3u8
山西卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/sxws.m3u8
山东卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/sdwsHD.m3u8
安徽卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/ahwsHD.m3u8
河南卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/henws.m3u8
湖北卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hubwsHD.m3u8
湖南卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnwsHD.m3u8
湖南卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnws4K.m3u8
江西卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jxwsHD.m3u8
江苏卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jswsHD.m3u8
江苏卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jsws4K.m3u8
浙江卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/zjwsHD.m3u8
浙江卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/zjws4K.m3u8
东南卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dnwsHD.m3u8
广东卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/gdwsHD.m3u8
广东卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/gdws4K.m3u8
深圳卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/szwsHD.m3u8
深圳卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dfws4K.m3u8
广西卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/gxws.m3u8
云南卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/ynws.m3u8
贵州卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/gzws.m3u8
四川卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/scwsHD.m3u8
四川卫视4K,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/scws4K.m3u8
新疆卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/xjws.m3u8
兵团卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/btws.m3u8
西藏卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/xzws.m3u8
海南卫视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/lyws.m3u8
书画频道,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/shpd.m3u8
CETV1,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CETV1.m3u8
CETV4,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/CETV4.m3u8
法治天地,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/fztx.m3u8
生活时尚,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/shsc.m3u8
都市剧场,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dsjc.m3u8
重温经典,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hngj.m3u8
东方财经,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dfcj.m3u8
动漫秀场,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/dmxc.m3u8
劲爆体育,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jbty.m3u8
游戏风云,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/yxfy.m3u8
卡酷动画,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/kkdh.m3u8
优优宝贝,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/yybb.m3u8
四海钓鱼,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/shdy.m3u8
天元围棋,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/tywq.m3u8
湖南经视,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnjsHD.m3u8
湖南电视剧,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hndsjHD.m3u8
湖南娱乐,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnylHD.m3u8
湖南都市,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hndsHD.m3u8
湖南公共,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnggHD.m3u8
湖南电影,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hndyHD.m3u8
湖南教育,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/hnjy.m3u8
金鹰纪实,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jyjsHD.m3u8
金鹰卡通,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/jyktHD.m3u8
快乐垂钓,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/klcd.m3u8
先锋乒羽,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/xfpy.m3u8
茶频道,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/cpd.m3u8
快乐购,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/klgHD.m3u8
长沙综合,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/csxw.m3u8
株洲综合,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/zzxw.m3u8
湘潭综合,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/xtxw.m3u8
岳阳综合,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/yyxw.m3u8
益阳综合,http://120.226.23.11:2380/c3.cdn.hunancatv.com/live/yiyxw.m3u8
